Date,Open,High,Low,Close,Adj Close,Volume,All Items,realtime_start,realtime_end,value,DEXUSEU
2020-06-01,3038.780029296875,3062.179931640625,3031.5400390625,3055.72998046875,3055.72998046875,4684170000.0,0.014,2024-07-18,2024-07-18,16359.6,1.1123
2020-06-02,3064.780029296875,3081.070068359375,3051.639892578125,3080.820068359375,3080.820068359375,5197150000.0,0.014,2024-07-18,2024-07-18,16359.6,1.1166
2020-06-03,3098.89990234375,3130.93994140625,3098.89990234375,3122.8701171875,3122.8701171875,6005560000.0,0.014,2024-07-18,2024-07-18,16359.6,1.1246
2020-06-04,3111.56005859375,3128.909912109375,3090.409912109375,3112.35009765625,3112.35009765625,6451290000.0,0.014,2024-07-18,2024-07-18,16359.6,1.1322
2020-06-05,3163.840087890625,3211.719970703125,3163.840087890625,3193.929931640625,3193.929931640625,8639300000.0,0.014,2024-07-18,2024-07-18,16359.6,1.1297
2020-06-08,3199.919921875,3233.1298828125,3196.0,3232.389892578125,3232.389892578125,8498300000.0,0.014,2024-07-18,2024-07-18,16463.3,1.1293
2020-06-09,3213.320068359375,3222.7099609375,3193.110107421875,3207.179931640625,3207.179931640625,6410930000.0,0.014,2024-07-18,2024-07-18,16463.3,1.1348
2020-06-10,3213.419921875,3223.27001953125,3181.489990234375,3190.139892578125,3190.139892578125,6598870000.0,0.014,2024-07-18,2024-07-18,16463.3,1.1355
2020-06-11,3123.530029296875,3123.530029296875,2999.489990234375,3002.10009765625,3002.10009765625,7037320000.0,0.014,2024-07-18,2024-07-18,16463.3,1.1378
2020-06-12,3071.0400390625,3088.419921875,2984.469970703125,3041.31005859375,3041.31005859375,5845330000.0,0.014,2024-07-18,2024-07-18,16463.3,1.1253
2020-06-15,2993.760009765625,3079.760009765625,2965.659912109375,3066.590087890625,3066.590087890625,5757480000.0,0.014,2024-07-18,2024-07-18,16550.1,1.127
2020-06-16,3131.0,3153.449951171875,3076.06005859375,3124.739990234375,3124.739990234375,5845810000.0,0.014,2024-07-18,2024-07-18,16550.1,1.1259
2020-06-17,3136.1298828125,3141.159912109375,3108.030029296875,3113.489990234375,3113.489990234375,4560450000.0,0.014,2024-07-18,2024-07-18,16550.1,1.1219
2020-06-18,3101.639892578125,3120.0,3093.510009765625,3115.340087890625,3115.340087890625,4448690000.0,0.014,2024-07-18,2024-07-18,16550.1,1.1216
2020-06-19,3140.2900390625,3155.530029296875,3083.110107421875,3097.739990234375,3097.739990234375,8346650000.0,0.014,2024-07-18,2024-07-18,16550.1,1.1189
2020-06-22,3094.419921875,3120.919921875,3079.389892578125,3117.860107421875,3117.860107421875,4686690000.0,0.014,2024-07-18,2024-07-18,16649.9,1.126
2020-06-23,3138.699951171875,3154.89990234375,3127.1201171875,3131.2900390625,3131.2900390625,4711850000.0,0.014,2024-07-18,2024-07-18,16649.9,1.1322
2020-06-24,3114.39990234375,3115.010009765625,3032.1298828125,3050.330078125,3050.330078125,5597680000.0,0.014,2024-07-18,2024-07-18,16649.9,1.1272
2020-06-25,3046.60009765625,3086.25,3024.010009765625,3083.760009765625,3083.760009765625,4847690000.0,0.014,2024-07-18,2024-07-18,16649.9,1.1221
2020-06-26,3073.199951171875,3073.72998046875,3004.6298828125,3009.050048828125,3009.050048828125,8107850000.0,0.014,2024-07-18,2024-07-18,16649.9,1.1215
2020-06-29,3018.590087890625,3053.889892578125,2999.739990234375,3053.239990234375,3053.239990234375,4473970000.0,0.014,2024-07-18,2024-07-18,16651.7,1.1237
2020-06-30,3050.199951171875,3111.510009765625,3047.830078125,3100.2900390625,3100.2900390625,4705850000.0,0.014,2024-07-18,2024-07-18,16651.7,1.1237
2020-07-01,3105.919921875,3128.43994140625,3101.169921875,3115.860107421875,3115.860107421875,4449230000.0,0.014,2024-07-18,2024-07-18,16651.7,1.1259
2020-07-02,3143.639892578125,3165.81005859375,3124.52001953125,3130.010009765625,3130.010009765625,4197720000.0,0.014,2024-07-18,2024-07-18,16651.7,1.1237
2020-07-03,3143.639892578125,3165.81005859375,3124.52001953125,3130.010009765625,3130.010009765625,4197720000.0,0.014,2024-07-18,2024-07-18,16651.7,.
2020-07-06,3155.2900390625,3182.590087890625,3155.2900390625,3179.719970703125,3179.719970703125,4759160000.0,0.014,2024-07-18,2024-07-18,16758.0,1.1307
2020-07-07,3166.43994140625,3184.14990234375,3142.929931640625,3145.320068359375,3145.320068359375,4571330000.0,0.014,2024-07-18,2024-07-18,16758.0,1.1299
2020-07-08,3153.070068359375,3171.800048828125,3136.530029296875,3169.93994140625,3169.93994140625,4937310000.0,0.014,2024-07-18,2024-07-18,16758.0,1.1329
2020-07-09,3176.169921875,3179.780029296875,3115.699951171875,3152.050048828125,3152.050048828125,4843650000.0,0.014,2024-07-18,2024-07-18,16758.0,1.1298
2020-07-10,3152.469970703125,3186.820068359375,3136.219970703125,3185.0400390625,3185.0400390625,4524190000.0,0.014,2024-07-18,2024-07-18,16758.0,1.1318
2020-07-13,3205.080078125,3235.320068359375,3149.429931640625,3155.219970703125,3155.219970703125,4902440000.0,0.014,2024-07-18,2024-07-18,16831.7,1.1364
2020-07-14,3141.110107421875,3200.949951171875,3127.659912109375,3197.52001953125,3197.52001953125,4507140000.0,0.014,2024-07-18,2024-07-18,16831.7,1.1406
2020-07-15,3225.97998046875,3238.280029296875,3200.760009765625,3226.56005859375,3226.56005859375,4686830000.0,0.014,2024-07-18,2024-07-18,16831.7,1.1406
2020-07-16,3208.360107421875,3220.389892578125,3198.590087890625,3215.570068359375,3215.570068359375,3972860000.0,0.014,2024-07-18,2024-07-18,16831.7,1.1433
2020-07-17,3224.2099609375,3233.52001953125,3205.64990234375,3224.72998046875,3224.72998046875,4012850000.0,0.014,2024-07-18,2024-07-18,16831.7,1.1438
2020-07-20,3224.2900390625,3258.610107421875,3215.159912109375,3251.840087890625,3251.840087890625,3979340000.0,0.014,2024-07-18,2024-07-18,16776.7,1.1442
2020-07-21,3268.52001953125,3277.2900390625,3247.77001953125,3257.300048828125,3257.300048828125,4556610000.0,0.014,2024-07-18,2024-07-18,16776.7,1.1495
2020-07-22,3254.860107421875,3279.320068359375,3253.10009765625,3276.02001953125,3276.02001953125,4267160000.0,0.014,2024-07-18,2024-07-18,16776.7,1.1587
2020-07-23,3271.639892578125,3279.989990234375,3222.659912109375,3235.659912109375,3235.659912109375,4296760000.0,0.014,2024-07-18,2024-07-18,16776.7,1.1623
2020-07-24,3218.580078125,3227.260009765625,3200.050048828125,3215.6298828125,3215.6298828125,3689410000.0,0.014,2024-07-18,2024-07-18,16776.7,1.1635
2020-07-27,3219.840087890625,3241.429931640625,3214.25,3239.409912109375,3239.409912109375,3970310000.0,0.014,2024-07-18,2024-07-18,16749.3,1.175
2020-07-28,3234.27001953125,3243.719970703125,3216.169921875,3218.43994140625,3218.43994140625,4053180000.0,0.014,2024-07-18,2024-07-18,16749.3,1.1733
2020-07-29,3227.219970703125,3264.739990234375,3227.219970703125,3258.43994140625,3258.43994140625,4478200000.0,0.014,2024-07-18,2024-07-18,16749.3,1.177
2020-07-30,3231.760009765625,3250.919921875,3204.1298828125,3246.219970703125,3246.219970703125,4264920000.0,0.014,2024-07-18,2024-07-18,16749.3,1.1791
2020-07-31,3270.449951171875,3272.169921875,3220.260009765625,3271.1201171875,3271.1201171875,5007530000.0,0.014,2024-07-18,2024-07-18,16749.3,1.1822
2020-08-03,3288.260009765625,3302.72998046875,3284.530029296875,3294.610107421875,3294.610107421875,4438940000.0,0.014,2024-07-18,2024-07-18,16730.7,1.175
2020-08-04,3289.919921875,3306.840087890625,3286.3701171875,3306.510009765625,3306.510009765625,4414380000.0,0.014,2024-07-18,2024-07-18,16730.7,1.1766
2020-08-05,3317.3701171875,3330.77001953125,3317.3701171875,3327.77001953125,3327.77001953125,4535060000.0,0.014,2024-07-18,2024-07-18,16730.7,1.1898
2020-08-06,3323.169921875,3351.030029296875,3318.139892578125,3349.159912109375,3349.159912109375,4278930000.0,0.014,2024-07-18,2024-07-18,16730.7,1.1856
2020-08-07,3340.050048828125,3352.5400390625,3328.719970703125,3351.280029296875,3351.280029296875,4110030000.0,0.014,2024-07-18,2024-07-18,16730.7,1.1776
2020-08-10,3356.0400390625,3363.2900390625,3335.43994140625,3360.469970703125,3360.469970703125,4327920000.0,0.014,2024-07-18,2024-07-18,16885.2,1.1756
2020-08-11,3370.340087890625,3381.010009765625,3326.43994140625,3333.68994140625,3333.68994140625,4880540000.0,0.014,2024-07-18,2024-07-18,16885.2,1.1764
2020-08-12,3355.4599609375,3387.889892578125,3355.4599609375,3380.35009765625,3380.35009765625,3772250000.0,0.014,2024-07-18,2024-07-18,16885.2,1.1796
2020-08-13,3372.949951171875,3387.239990234375,3363.35009765625,3373.429931640625,3373.429931640625,3438730000.0,0.014,2024-07-18,2024-07-18,16885.2,1.1818
2020-08-14,3368.659912109375,3378.510009765625,3361.639892578125,3372.85009765625,3372.85009765625,3200060000.0,0.014,2024-07-18,2024-07-18,16885.2,1.1833
2020-08-17,3380.860107421875,3387.590087890625,3379.219970703125,3381.989990234375,3381.989990234375,3460330000.0,0.014,2024-07-18,2024-07-18,16933.9,1.1869
2020-08-18,3387.0400390625,3395.06005859375,3370.14990234375,3389.780029296875,3389.780029296875,3669550000.0,0.014,2024-07-18,2024-07-18,16933.9,1.1928
2020-08-19,3392.510009765625,3399.5400390625,3369.659912109375,3374.85009765625,3374.85009765625,3679480000.0,0.014,2024-07-18,2024-07-18,16933.9,1.1898
2020-08-20,3360.47998046875,3390.800048828125,3354.68994140625,3385.510009765625,3385.510009765625,3431040000.0,0.014,2024-07-18,2024-07-18,16933.9,1.1862
